Depth,Gamma,Temp_1,Temp_2,P,Rmud,Rs,Rd,Th,U,K,Vs,Vp,INDEX
m,API,C,C,Mpa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,Rock types
4.975,38.492,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.67637,1.98272,0.550198,-999.25,-999.25,Basalt
5.075,36.4809,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.74292,1.92709,0.561916,-999.25,-999.25,Basalt
5.175,34.9242,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.7137,1.90609,0.584991,-999.25,-999.25,Basalt
5.275,34.1055,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.58827,1.95043,0.613449,-999.25,-999.25,Basalt
5.375,34.1049,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.48305,2.05958,0.628214,-999.25,-999.25,Basalt
5.475,34.8059,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.49683,2.21876,0.605429,-999.25,-999.25,Basalt
5.575,36.056,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.63809,2.41874,0.535536,-999.25,-999.25,Basalt
5.675,37.5995,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.82462,2.66539,0.42917,-999.25,-999.25,Basalt
5.775,39.2074,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.99004,2.92149,0.319051,-999.25,-999.25,Basalt
5.875,40.6384,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,5.01583,3.13648,0.245368,-999.25,-999.25,Basalt
5.975,41.6638,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.78625,3.28,0.234484,-999.25,-999.25,Basalt
6.075,42.1493,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.32503,3.31915,0.292328,-999.25,-999.25,Basalt
6.175,42.0667,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,3.87662,3.22494,0.385045,-999.25,-999.25,Basalt
6.275,41.3815,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,3.75728,3.01051,0.448696,-999.25,-999.25,Basalt
6.375,40.0075,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,4.12931,2.70533,0.446681,-999.25,-999.25,Basalt
6.475,37.9882,28.5534,-999.25,-999.25,-999.25,-999.25,-999.25,4.93707,2.36358,0.378466,-999.25,-999.25,Basalt
6.575,35.6811,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,5.88884,2.08041,0.27101,-999.25,-999.25,Basalt
6.675,33.5571,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,6.56827,1.94574,0.167029,-999.25,-999.25,Basalt
6.775,32.0719,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,6.69668,1.94676,0.111801,-999.25,-999.25,Basalt
6.875,31.4384,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,6.19818,2.0314,0.131603,-999.25,-999.25,Basalt
6.975,31.4606,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,5.32933,2.11243,0.212559,-999.25,-999.25,Basalt
7.075,31.6213,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,4.50443,2.06673,0.31844,-999.25,-999.25,Basalt
7.175,31.3843,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,3.96473,1.86045,0.409706,-999.25,-999.25,Basalt
7.275,30.5748,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,3.72291,1.53749,0.472486,-999.25,-999.25,Basalt
7.375,29.4532,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,3.55783,1.21794,0.513974,-999.25,-999.25,Basalt
7.475,28.3952,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,3.25973,1.04323,0.532393,-999.25,-999.25,Basalt
7.575,27.4808,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,2.71815,1.09857,0.523943,-999.25,-999.25,Basalt
7.675,26.5352,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,2.0079,1.33923,0.4976,-999.25,-999.25,Basalt
7.775,25.3449,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,1.38319,1.61272,0.467931,-999.25,-999.25,Basalt
7.875,23.8248,28.5381,-999.25,-999.25,-999.25,-999.25,-999.25,1.10178,1.75804,0.450357,-999.25,-999.25,Basalt
