Depth,GR, Temp,Pressure,Rd,Rs,Vp,Vs,INDEX
m,API,C,Mpa,Ohmm,Ohmm,m/s,m/s,Rock types
265.94,12.9443,-999.25,-999.25,-999.25,-999.25,3255.21,2150.23,Basalt
266.04,13.9034,-999.25,-999.25,-999.25,-999.25,3605.77,2160.14,Basalt
266.14,14.4537,-999.25,-999.25,-999.25,-999.25,3720.24,2160.14,Basalt
266.24,14.6467,-999.25,-999.25,-999.25,-999.25,3255.21,2130.68,Basalt
266.34,14.6486,-999.25,-999.25,-999.25,-999.25,3633.72,2121.04,Basalt
266.44,14.6105,-999.25,-999.25,-999.25,-999.25,3605.77,2111.49,Basalt
266.54,14.5828,-999.25,-999.25,-999.25,-999.25,3578.24,2121.04,Basalt
266.64,14.4497,-999.25,-999.25,-999.25,-999.25,4300.46,2130.68,Basalt
266.74,14.1348,-999.25,-999.25,-999.25,-999.25,3633.72,2170.14,Basalt
266.84,13.6968,-999.25,-999.25,-999.25,-999.25,3232.76,2140.41,Basalt
266.94,13.1774,-999.25,-999.25,-999.25,-999.25,3605.77,2150.23,Basalt
267.04,12.5834,-999.25,-999.25,-999.25,-999.25,3633.72,2170.14,Basalt
267.14,11.9341,-999.25,-999.25,-999.25,-999.25,3188.78,2130.68,Basalt
267.24,11.281,-999.25,-999.25,-999.25,-999.25,3446.69,2130.68,Basalt
267.34,10.7801,-999.25,-999.25,-999.25,-999.25,3551.14,2170.14,Basalt
267.44,10.4463,-999.25,-999.25,-999.25,-999.25,3255.21,2150.23,Basalt
267.54,10.1978,-999.25,-999.25,-999.25,-999.25,3277.97,2150.23,Basalt
267.64,9.91581,-999.25,-999.25,-999.25,-999.25,2911.49,2150.23,Basalt
267.74,9.57813,-999.25,1.82844,-999.25,-999.25,3324.47,2140.41,Basalt
267.84,9.29124,13.1203,1.82928,-999.25,-999.25,3472.22,2160.14,Basalt
267.94,9.27485,13.1196,1.83029,-999.25,-999.25,3578.24,2140.41,Basalt
268.04,9.76351,13.1186,1.83132,-999.25,-999.25,3167.23,2111.49,Basalt
268.14,10.7899,13.1173,1.83234,-999.25,-999.25,3188.78,2150.23,Basalt
268.24,12.0667,13.1162,1.83332,-999.25,-999.25,3472.22,2102.02,Basalt
268.34,13.2246,13.1153,1.83436,-999.25,-999.25,3421.53,2150.23,Basalt
268.44,13.9733,13.1149,1.83535,-999.25,-999.25,3605.77,2130.68,Basalt
268.54,14.2854,13.1148,1.83637,-999.25,-999.25,3720.24,2140.41,Basalt
268.64,14.3156,13.115,1.8374,-999.25,-999.25,3551.14,2160.14,Basalt
268.74,14.2363,13.1153,1.83842,-999.25,-999.25,3277.97,2150.23,Basalt
268.84,14.0493,13.1157,1.83941,-999.25,-999.25,3720.24,2150.23,Basalt
