DEPTH,DENSITY,DENPOR,GAMMA,NEUTRON,INDEX
m,g/m3,%,API,API,Rock types
621,2.77,9.44,5.22,368.19,Basalt
621.5,2.72,12,6.06,395.59,Basalt
622,2.65,15.36,7,431.44,Basalt
622.5,2.6,17.98,7.26,467.11,Basalt
623,2.59,18.53,6.79,498.5,Basalt
623.5,2.62,17.17,6.09,525.09,Basalt
624,2.64,15.77,5.71,544.57,Basalt
624.5,2.65,15.64,5.84,555.68,Basalt
625,2.63,16.61,6,560.36,Basalt
625.5,2.61,17.34,5.98,563.67,Basalt
626,2.62,16.84,5.75,567.63,Basalt
626.5,2.66,14.84,5.85,571.52,Basalt
627,2.72,11.78,6.44,572.68,Basalt
627.5,2.79,8.32,7.26,564.93,Basalt
628,2.85,5.28,7.79,540.45,Basalt
637.5,2.92,1.68,7.43,613.73,Basalt
638,2.85,4.98,6.89,625.48,Basalt
638.5,2.78,8.55,6.37,643.9,Basalt
639,2.73,11.44,6.08,675.77,Basalt
639.5,2.7,12.94,6.03,720,Basalt
640,2.7,12.73,6.02,767.31,Basalt
640.5,2.73,11.24,5.9,802.68,Basalt
641,2.76,9.52,5.64,813.77,Basalt
641.5,2.77,9.12,5.74,796.97,Basalt
642,2.74,10.7,6.38,760.61,Basalt
642.5,2.69,13.1,7.52,719.43,Basalt
643,2.65,15.3,8.53,687.04,Basalt
643.5,2.62,16.69,9.05,667.32,Basalt
644,2.61,17.2,9.08,653.03,Basalt
644.5,2.63,16.3,8.94,630.39,Basalt
645,2.68,14.02,9.16,586.74,Basalt
645.5,2.74,10.81,9.95,520.43,Basalt
646,2.81,7.36,10.86,446.67,Basalt
646.5,2.87,3.83,11,392.39,Basalt
647,2.93,0.76,9.98,374.93,Basalt
649,2.92,1.37,9.68,417.4,Basalt
649.5,2.89,2.92,10.44,393.25,Basalt
650,2.86,4.6,10.7,371.37,Basalt
650.5,2.82,6.72,10.87,357.19,Basalt
651,2.75,10.04,11.59,347.55,Basalt
651.5,2.66,14.63,12.63,342.24,Basalt
652,2.56,19.99,13.37,347.9,Basalt
652.5,2.45,25.34,13.1,369.91,Basalt
653,2.37,29.74,11.57,411.14,Basalt
653.5,2.31,32.69,9.43,470.47,Basalt
654,2.27,34.66,7.45,542.38,Basalt
654.5,2.25,36.13,6.7,609.36,Basalt
655,2.23,36.78,7.04,650.99,Basalt
655.5,2.27,35.08,7.9,655.04,Basalt
656,2.36,30.28,8.52,620.45,Basalt
656.5,2.51,22.79,8.85,557.66,Basalt
657,2.66,14.82,9,484.53,Basalt
657.5,2.77,9.42,8.99,422.3,Basalt
658,2.79,8.21,9.05,381.75,Basalt
658.5,2.75,10.14,9.34,352.77,Basalt
659,2.69,13.38,9.73,321.55,Basalt
659.5,2.61,17.26,9.92,284.7,Basalt
660,2.54,20.9,10.06,254.62,Basalt
660.5,2.49,23.54,10.38,240.21,Basalt
661,2.45,25.48,10.98,240.45,Claystone
661.5,2.4,28.33,11.86,248.49,Claystone
662,2.3,33.11,12.77,259.64,Claystone
662.5,2.19,38.94,13.19,275.13,Basalt
663,2.09,44.32,12.48,298.38,Basalt
663.5,2.01,48.32,11.19,330.32,Basalt
664,1.97,50.54,10.13,364.73,Basalt
664.5,1.97,50.34,9.87,392.65,Basalt
665,2.03,47.26,9.79,407.95,Basalt
665.5,2.14,41.38,9.63,409.07,Basalt
666,2.29,34.07,9.46,397.73,Basalt
666.5,2.4,28,9.42,379.02,Basalt
667,2.45,25.41,9.4,361.05,Basalt
667.5,2.44,26,9.1,349.78,Basalt
668,2.4,28.01,8.66,344.38,Basalt
668.5,2.36,29.91,8.54,337.01,Basalt
669,2.36,30.25,9.24,320.3,Basalt
669.5,2.41,27.75,10.7,293.87,Basalt
670,2.52,22.33,12.3,264.14,Basalt
670.5,2.65,15.33,13.39,239.91,Basalt
671,2.78,8.95,13.96,225.02,Basalt
671.5,2.86,4.6,13.97,219.49,Basalt
672,2.92,1.64,13.7,221.09,Basalt
675,2.92,1.41,10.34,254.87,Basalt
675.5,2.9,2.51,10.56,253.54,Basalt
676,2.89,2.75,10.63,262.01,Basalt
676.5,2.89,2.94,10.13,292.92,Basalt
677,2.87,3.98,8.94,354.96,Basalt
677.5,2.85,4.89,7.48,441.09,Basalt
678,2.86,4.5,6.34,524.8,Basalt
678.5,2.9,2.78,5.74,578.94,Basalt
679,2.93,1.06,5.73,595.73,Basalt
682,2.95,0.15,7,581.85,Basalt
682.5,2.94,0.4,6.89,598.31,Basalt
683,2.94,0.57,6.5,629.15,Basalt
683.5,2.93,0.96,5.93,667.56,Basalt
684,2.93,1.16,5.34,698.65,Basalt
684.5,2.93,0.78,5.15,713.58,Basalt
685,2.93,0.94,5.58,713.99,Basalt
685.5,2.88,3.68,6.38,711.1,Basalt
686,2.75,10.31,7.15,713.04,Basalt
686.5,2.6,17.98,7.66,720.14,Basalt
687,2.5,23.04,8.05,728.85,Basalt
687.5,2.48,23.88,8.47,736.24,Basalt
688,2.53,21.62,8.73,743.3,Basalt
688.5,2.59,18.66,8.54,748.35,Basalt
689,2.61,17.43,8.14,750.93,Basalt
689.5,2.59,18.38,7.93,750.72,Basalt
690,2.56,19.74,8.24,750.89,Basalt
690.5,2.57,19.75,8.66,754.42,Basalt
691,2.6,17.73,8.8,760.14,Basalt
691.5,2.67,14.46,8.58,760.56,Basalt
692,2.73,11.34,8.51,741.61,Basalt
692.5,2.76,9.68,9.41,687.21,Basalt
693,2.78,8.99,11.51,594.01,Sandstone
693.5,2.8,7.82,13.96,481.93,Sandstone
694,2.85,5.35,15.38,386.77,Sandstone
694.5,2.9,2.36,15.02,335.76,Basalt
